,overall,km3_1,km3_2,km3_3,kmk4_1,km4_2,km4_3,km4_4,kmk5_1,km5_2,km5_3,km5_4,km5_5,kmk6_1,km6_2,km6_3,km6_4,km6_5,km6_6,kmk7_1,km7_2,km7_3,km7_4,km7_5,km7_6,km7_7,kmk8_1,km8_2,km8_3,km8_4,km8_5,km8_6,km8_7,km8_8
cardmon,13.62925,11.72416812609457,20.379424778761063,11.472906403940886,11.064356435643564,11.711261261261262,20.084183673469386,20.382978723404257,11.064356435643564,11.981020942408376,13.11036036036036,20.382978723404257,20.06122448979592,11.129310344827585,20.382978723404257,13.119318181818182,20.5625,12.086633663366337,13.150669642857142,11.26593137254902,21.490384615384617,12.615853658536585,18.49576271186441,11.218390804597702,10.772099447513812,20.382978723404257,19.012096774193548,10.640350877192983,15.69488188976378,20.778761061946902,10.581818181818182,20.382978723404257,11.218390804597702,11.586879432624114
wiremon,11.403074999999992,12.294461471103327,16.880696902654876,2.7975369458128077,2.8113861386138614,12.457454954954954,17.81014030612246,9.159574468085106,2.8113861386138614,13.401472513089006,11.788457207207209,9.159574468085106,18.151530612244905,2.9660098522167484,9.159574468085106,14.213579545454552,18.73701923076923,12.918254950495044,11.988169642857144,2.951470588235294,25.97278846153847,13.044573170731711,14.940677966101694,10.670186781609194,8.739019337016572,9.159574468085106,14.941935483870965,7.923099415204677,17.5361220472441,25.43340707964602,8.05181818181818,9.159574468085106,10.670186781609194,2.8730496453900707
ebill,0.371,0.3660245183887916,0.252212389380531,0.5172413793103449,0.5148514851485149,0.36936936936936937,0.27040816326530615,0.19148936170212766,0.5148514851485149,0.3481675392670157,0.3918918918918919,0.19148936170212766,0.2585034013605442,0.5172413793103449,0.19148936170212766,0.34545454545454546,0.2692307692307692,0.32673267326732675,0.38839285714285715,0.5196078431372549,0.3384615384615385,0.3463414634146341,0.2033898305084746,0.3218390804597701,0.40331491712707185,0.19148936170212766,0.1935483870967742,0.391812865497076,0.5039370078740157,0.3805309734513274,0.2909090909090909,0.19148936170212766,0.3218390804597701,0.5106382978723404
region_2,0.334,0.31523642732049034,0.4026548672566372,0.3103448275862069,0.3118811881188119,0.31351351351351353,0.40816326530612246,0.3617021276595745,0.3118811881188119,0.5052356020942408,0.0,0.3617021276595745,0.41496598639455784,0.31527093596059114,0.3617021276595745,1.0,0.3173076923076923,0.0,0.0,0.31862745098039214,0.18461538461538463,1.0,0.3898305084745763,0.0,0.0,0.3617021276595745,0.4032258064516129,0.0,1.0,0.0,1.0,0.3617021276595745,0.0,0.0
region_3,0.344,0.3572679509632224,0.3274336283185841,0.3251231527093596,0.32673267326732675,0.36036036036036034,0.3163265306122449,0.3404255319148936,0.32673267326732675,0.0,1.0,0.3404255319148936,0.272108843537415,0.3251231527093596,0.3404255319148936,0.0,0.36538461538461536,0.0,1.0,0.31862745098039214,0.46153846153846156,0.0,0.3728813559322034,0.0,1.0,0.3404255319148936,0.3548387096774194,1.0,0.0,0.6017699115044248,0.0,0.3404255319148936,0.0,0.475177304964539
custcat_2,0.217,0.0,0.061946902654867256,1.0,1.0,0.0,0.04081632653061224,0.14893617021276595,1.0,0.0,0.0,0.14893617021276595,0.05442176870748299,1.0,0.14893617021276595,0.0,0.0673076923076923,0.0,0.0,1.0,0.015384615384615385,0.0,0.06779661016949153,0.0,0.0,0.14893617021276595,0.06451612903225806,0.0,0.5118110236220472,0.0,0.0,0.14893617021276595,0.0,1.0
custcat_3,0.281,0.30122591943957966,0.4823008849557522,0.0,0.0,0.2954954954954955,0.4846938775510204,0.46808510638297873,0.0,0.306282722513089,0.3108108108108108,0.46808510638297873,0.4965986394557823,0.0,0.46808510638297873,0.31363636363636366,0.46153846153846156,0.3564356435643564,0.3125,0.0,0.46923076923076923,0.2975609756097561,0.4745762711864407,0.3333333333333333,0.281767955801105,0.46808510638297873,0.4838709677419355,0.29239766081871343,0.18110236220472442,0.4247787610619469,0.30303030303030304,0.46808510638297873,0.3333333333333333,0.0
custcat_4,0.236,0.29246935201401053,0.3053097345132743,0.0,0.0,0.2972972972972973,0.32653061224489793,0.14893617021276595,0.0,0.3036649214659686,0.2882882882882883,0.14893617021276595,0.3333333333333333,0.0,0.14893617021276595,0.30454545454545456,0.36538461538461536,0.29207920792079206,0.29017857142857145,0.0,0.47692307692307695,0.2926829268292683,0.288135593220339,0.25862068965517243,0.24861878453038674,0.14893617021276595,0.2903225806451613,0.22807017543859648,0.30708661417322836,0.504424778761062,0.18787878787878787,0.14893617021276595,0.25862068965517243,0.0
cluster_3,0.632,,,,1.995049504950495,0.0,0.9642857142857143,0.851063829787234,1.995049504950495,0.0549738219895288,0.0945945945945946,0.851063829787234,1.0,1.9901477832512315,0.851063829787234,0.2,1.0,0.08415841584158416,0.10267857142857142,1.9901960784313726,0.6923076923076923,0.14146341463414633,1.0,0.022988505747126436,0.022099447513812154,0.851063829787234,1.0,0.011695906432748537,1.2440944881889764,0.5752212389380531,0.12727272727272726,0.851063829787234,0.022988505747126436,1.9858156028368794
cluster_4,1.088,1.042031523642732,2.15929203539823,0.024630541871921183,,,,,0.0,1.0706806282722514,1.0990990990990992,3.0,2.0,0.009852216748768473,3.0,1.209090909090909,2.0,1.103960396039604,1.1071428571428572,0.029411764705882353,1.6923076923076923,1.1512195121951219,2.0,1.0402298850574712,1.0276243093922652,3.0,2.0,1.0175438596491229,0.7559055118110236,1.592920353982301,1.1393939393939394,3.0,1.0402298850574712,0.028368794326241134
cluster_5,1.555,1.3852889667250439,3.349557522123894,0.034482758620689655,0.0,1.3603603603603605,3.3622448979591835,3.0,,,,,,0.019704433497536946,3.0,1.3681818181818182,4.0,1.193069306930693,2.017857142857143,0.058823529411764705,2.8076923076923075,1.2341463414634146,4.0,1.0689655172413792,2.0,3.0,4.0,2.0,1.0,2.5929203539823007,1.2727272727272727,3.0,1.0689655172413792,0.05673758865248227
cluster_6,2.727,3.691768826619965,2.7212389380530975,0.019704433497536946,0.0,3.7333333333333334,3.1020408163265305,1.0,0.0,2.9895287958115184,5.0,1.0,2.9115646258503403,,,,,,,0.029411764705882353,3.746153846153846,2.004878048780488,3.0,3.9885057471264367,5.0,1.0,3.0,5.0,1.0551181102362204,4.20353982300885,2.0,1.0,3.9885057471264367,0.0425531914893617
